# li_2 triplett pecs. energy given in 10^(-6)*Hartree
#			2S+2S		2S+2P	
#R [a_0]	1^1S_g^+	1^1S_u^+	3^1S_g^+	2^1S_u^+	4^1S_g^+
3.25	13546	106810	165659	181132	186109
3.5	-3033	85667	144928	159452	166026
4	-24955	56006	115704	129055	136438
4.5	-35457	38883	98882	111692	118995
5	-38550	29931	90251	102732	109075
5.5	-37209	26122	86766	99002	103361
6	-33436	25506	86361	98580	99986
6.5	-28543	26842	87604	100038	98371
7	-23375	29338	89456	102547	98497
7.5	-18468	32481	91325	105466	100181
8	-14140	35936	93111	108004	102821
9	-7687	42965	96247	106144	108676
10.5	-2783	52144	97814	100686	116433
12	-1007	58540	98417	99981	123029
13.5	-396	62273	101559	102788	125908
15	-175	64278	106361	107216	126317
17	-71	65659	113027	113515	126256
20	-24	66649	120777	121039	126961
30	-2	67654	123927	123950	136123
